taxon_id,hostility_levelMedium,hostility_levelHigh,hostility_levelHigh - hostility_levelMedium,hostility_levelMediumSD,hostility_levelHighSD,hostility_levelHigh - hostility_levelMediumSD
Bifidobacteriaceae,-0,-0,-0,0,0,0
Coriobacteriaceae,0,-0,-0,0,0,0
[Barnesiellaceae],0,0,-0,0,0,0
[Odoribacteraceae],3.29,2.63,-0,0.512,0.695,0
[Paraprevotellaceae],-0,0,0,0,0,0
Bacteroidaceae,-0,0,0,0,0,0
Porphyromonadaceae,0,0,0,0,0,0
Prevotellaceae,0,0,0,0,0,0
Rikenellaceae,0,-0,-0,0,0,0
Streptococcaceae,-0,-0,-0,0,0,0
[Mogibacteriaceae],0,0,-0,0,0,0
Christensenellaceae,0,-0,-0,0,0,0
Clostridiaceae,-0,0,0,0,0,0
Dehalobacteriaceae,-0,0,0,0,0,0
Lachnospiraceae,-0,-0,0,0,0,0
Peptococcaceae,0,0,0,0,0,0
Peptostreptococcaceae,0,0,0,0,0,0
Ruminococcaceae,0,-0,-0,0,0,0
Veillonellaceae,0,0,0,0,0,0
Erysipelotrichaceae,-0,-0,0,0,0,0
Alcaligenaceae,0,0,0,0,0,0
Desulfovibrionaceae,0,0,0,0,0,0
Enterobacteriaceae,0,-0,-0,0,0,0
Pasteurellaceae,0,-0,-0,0,0,0
Verrucomicrobiaceae,-0,-0,0,0,0,0
Unknown,-0,-0,-0,0,0,0
