taxon_id,depression_levelMedium,depression_levelHigh,depression_levelHigh - depression_levelMedium,depression_levelMediumSD,depression_levelHighSD,depression_levelHigh - depression_levelMediumSD
Bifidobacterium,0,0,0,0,0,0
Collinsella,0,0,0,0,0,0
Eggerthella,-0,0,0,0,0,0
Butyricimonas,0,-0,-0,0,0,0
Odoribacter,-0,0,0,0,0,0
Paraprevotella,0,0,-0,0,0,0
Bacteroides,-0,0,0,0,0,0
Parabacteroides,0,0,-0,0,0,0
Prevotella,-0,0,0,0,0,0
Alistipes,-0,0,0,0,0,0
Streptococcus,-0,0,0,0,0,0
Clostridium,-0,0,0,0,0,0
Dehalobacterium,-0,0,0,0,0,0
[Ruminococcus],0,0,-0,0,0,0
Anaerostipes,-0,0,0,0,0,0
Blautia,-0,-0,-0,0,0,0
Coprococcus,-0,-0,-0,0,0,0
Dorea,-0,-0,0,0,0,0
Lachnobacterium,0,0,-0,0,0,0
Lachnospira,-0,-0,-0,0,0,0
Roseburia,-0,-0,-0,0,0,0
Anaerotruncus,-0,0,0,0,0,0
Faecalibacterium,-0,-0,0,0,0,0
Gemmiger,-0,-0,0,0,0,0
Oscillospira,0,-0,-0,0,0,0
Ruminococcus,-0,0,0,0,0,0
Acidaminococcus,-0,-0,-0,0,0,0
Dialister,-0,-0,0,0,0,0
Megasphaera,-0,0,0,0,0,0
Phascolarctobacterium,0,0,-0,0,0,0
Veillonella,0,-0,-0,0,0,0
[Eubacterium],0,0,0,0,0,0
Catenibacterium,0,-0,-0,0,0,0
Coprobacillus,0,0,0,0,0,0
Holdemania,-0,-0,0,0,0,0
Sutterella,-0,0,0,0,0,0
Bilophila,0,0,-0,0,0,0
Desulfovibrio,0,-0,-0,0,0,0
Haemophilus,-0,-0,-0,0,0,0
Akkermansia,-0,-0,0,0,0,0
Unknown,0,-0,-0,0,0,0
