Family,Genus,lfc (Medium - Low),lfc (High - Low),se (Medium - Low),se (High - Low),W (Medium - Low),W (High - Low),p (Medium - Low),p (High - Low),q (Medium - Low),q (High - Low),structural_zero (metabolic_syndrome_level = Low),structural_zero (metabolic_syndrome_level = Medium),structural_zero (metabolic_syndrome_level = High)
Bifidobacteriaceae,Bifidobacterium,-0.0187,-0.586,0.929,1.15,-0.0202,-0.508,0.984,0.611,0.999,0.929,FALSE,FALSE,FALSE
Coriobacteriaceae,Collinsella,-0.574,0.328,0.629,1.02,-0.913,0.322,0.361,0.748,0.925,0.929,FALSE,FALSE,FALSE
Coriobacteriaceae,Eggerthella,-0.049,0.201,0.454,0.472,-0.108,0.427,0.914,0.669,0.999,0.929,FALSE,FALSE,FALSE
[Odoribacteraceae],Butyricimonas,-0.712,-1.18,0.927,0.909,-0.768,-1.3,0.443,0.193,0.925,0.784,FALSE,FALSE,FALSE
[Odoribacteraceae],Odoribacter,1.38,0.411,0.854,1.04,1.62,0.394,0.105,0.693,0.654,0.929,FALSE,FALSE,FALSE
[Paraprevotellaceae],Paraprevotella,-0.828,-0.633,0,0.754,-1.17,-0.839,0,0.401,0,0.929,FALSE,TRUE,FALSE
Bacteroidaceae,Bacteroides,-4.29e-4,0.259,0.473,0.402,-9.06e-4,0.644,0.999,0.52,0.999,0.929,FALSE,FALSE,FALSE
Porphyromonadaceae,Parabacteroides,0.0721,-0.0202,1.01,0.99,0.0718,-0.0204,0.943,0.984,0.999,0.997,FALSE,FALSE,FALSE
Prevotellaceae,Prevotella,0.624,-1.52,1.33,0,0.468,-1.77,0.64,0,0.98,0,FALSE,FALSE,TRUE
Rikenellaceae,Alistipes,0.622,1.11,0.932,0.756,0.667,1.47,0.504,0.143,0.98,0.731,FALSE,FALSE,FALSE
Streptococcaceae,Streptococcus,0.45,-0.262,0.72,0.809,0.626,-0.323,0.532,0.747,0.98,0.929,FALSE,FALSE,FALSE
Clostridium,Clostridium,0.0958,0.615,0.774,0.601,0.124,1.02,0.901,0.306,0.999,0.881,FALSE,FALSE,FALSE
Dehalobacteriaceae,Dehalobacterium,0.785,-0.16,0.4,0,1.97,-0.54,0.0494,0,0.593,0,FALSE,FALSE,TRUE
Lachnospiraceae,[Ruminococcus],0.249,-0.0778,0.65,0.845,0.383,-0.0921,0.702,0.927,0.98,0.997,FALSE,FALSE,FALSE
Lachnospiraceae,Anaerostipes,0.914,-0.878,0.574,0.392,1.59,-2.24,0.112,0.0249,0.654,0.711,FALSE,FALSE,FALSE
Lachnospiraceae,Blautia,0.122,0.00194,0.377,0.51,0.323,0.00381,0.747,0.997,0.987,0.997,FALSE,FALSE,FALSE
Lachnospiraceae,Coprococcus,-0.0333,-0.208,0.597,0.646,-0.0558,-0.322,0.956,0.747,0.999,0.929,FALSE,FALSE,FALSE
Lachnospiraceae,Dorea,-0.267,0.0039,0.738,0.757,-0.362,0.00516,0.717,0.996,0.98,0.997,FALSE,FALSE,FALSE
Lachnospiraceae,Lachnobacterium,0.335,-0.557,0.832,0.722,0.403,-0.771,0.687,0.44,0.98,0.929,FALSE,FALSE,FALSE
Lachnospiraceae,Lachnospira,0.777,0.283,0.967,1.18,0.803,0.241,0.422,0.81,0.925,0.949,FALSE,FALSE,FALSE
Lachnospiraceae,Roseburia,1.14,-0.595,0.635,1.18,1.8,-0.502,0.0723,0.616,0.593,0.929,FALSE,FALSE,FALSE
Ruminococcaceae,Anaerotruncus,0.969,0.293,0.515,0.443,1.88,0.662,0.06,0.508,0.593,0.929,FALSE,FALSE,FALSE
Ruminococcaceae,Faecalibacterium,1.6,1.62,1.16,1.04,1.38,1.55,0.167,0.12,0.857,0.711,FALSE,FALSE,FALSE
Ruminococcaceae,Gemmiger,0.749,0.236,0.982,0.964,0.763,0.245,0.446,0.807,0.925,0.949,FALSE,FALSE,FALSE
Ruminococcaceae,Oscillospira,0.0203,0.0732,0.281,0.347,0.0723,0.211,0.942,0.833,0.999,0.949,FALSE,FALSE,FALSE
Ruminococcaceae,Ruminococcus,1.09,0.634,0.892,0.73,1.22,0.868,0.221,0.385,0.925,0.929,FALSE,FALSE,FALSE
Veillonellaceae,Acidaminococcus,-0.189,1.82,0,1.18,-0.393,1.55,0,0.121,0,0.711,FALSE,TRUE,FALSE
Veillonellaceae,Dialister,-0.191,-0.525,1.2,1.23,-0.159,-0.426,0.874,0.67,0.999,0.929,FALSE,FALSE,FALSE
Veillonellaceae,Megasphaera,0.908,0.128,1.2,1.08,0.753,0.119,0.451,0.906,0.925,0.997,FALSE,FALSE,FALSE
Veillonellaceae,Phascolarctobacterium,-0.446,-0.46,1.17,1.26,-0.383,-0.364,0.702,0.716,0.98,0.929,FALSE,FALSE,FALSE
Veillonellaceae,Veillonella,-0.483,-0.91,0.587,0.554,-0.824,-1.64,0.41,0.101,0.925,0.711,FALSE,FALSE,FALSE
Erysipelotrichaceae,[Eubacterium],-1.39,-0.692,0.657,0.852,-2.12,-0.812,0.034,0.417,0.593,0.929,FALSE,FALSE,FALSE
Erysipelotrichaceae,Catenibacterium,-0.0858,0.877,0,0.816,-0.214,1.08,0,0.282,0,0.881,FALSE,TRUE,FALSE
Erysipelotrichaceae,Coprobacillus,0.26,0.231,0.651,0.703,0.399,0.328,0.69,0.743,0.98,0.929,FALSE,FALSE,FALSE
Erysipelotrichaceae,Holdemania,0.54,0.258,0.537,0.583,1.01,0.443,0.315,0.658,0.925,0.929,FALSE,FALSE,FALSE
Alcaligenaceae,Sutterella,1.61,1.13,0.674,0.721,2.38,1.57,0.0172,0.117,0.593,0.711,FALSE,FALSE,FALSE
Desulfovibrionaceae,Bilophila,0.699,1.03,0.871,1.04,0.802,0.989,0.422,0.322,0.925,0.881,FALSE,FALSE,FALSE
Desulfovibrionaceae,Desulfovibrio,0.313,-0.464,0.637,0,0.492,-1.28,0.623,0,0.98,0,FALSE,FALSE,TRUE
Pasteurellaceae,Haemophilus,-0.0969,-0.608,0.538,0.485,-0.18,-1.25,0.857,0.21,0.999,0.784,FALSE,FALSE,FALSE
Verrucomicrobiaceae,Akkermansia,1.08,-2.25,1.33,1.28,0.81,-1.75,0.418,0.0794,0.925,0.711,FALSE,FALSE,FALSE
NA,Unknown,-0.255,-0.401,0.323,0.371,-0.788,-1.08,0.431,0.28,0.925,0.881,FALSE,FALSE,FALSE
